country,politician,revid,quality
Abkhazia,Zurab Achba,802551672,C
Abkhazia,Garri Aiba,774499188,Stub
Abkhazia,Zaur Avidzba,803841397,C
Abkhazia,Raul Eshba,789818648,Start
Abkhazia,Guram Gabiskiria,785284614,Start
Abkhazia,Zakan Jugelia,798644673,Stub
Abkhazia,Zhiuli Shartava,728644481,Stub
Abkhazia,Yuri Voronov,788591677,Start
Abkhazia,Zaur Ardzinba,758713659,C
Abkhazia,Gennadi Berulava,802860970,Start
Abkhazia,Samson Chanba,797469371,GA
Abkhazia,Efrem Eshba,804349394,Start
Abkhazia,Nestor Lakoba,799618550,Start
Abkhazia,Sumbat Saakian,805063877,Stub
Abkhazia,Shota Shamatava,718383950,Stub
Abkhazia,Bagrat Shinkuba,805775169,Start
Afghanistan,Laghman Province,778690357,Start
Afghanistan,Roqia Abubakr,779839643,Stub
Afghanistan,Sitara Achakzai,803055503,GA
Afghanistan,Khadija Ahrari,805920528,GA
Afghanistan,Rahila Bibi Kobra Alamshahi,717743144,Stub
Afghanistan,Shahla Ata,787347770,C
Afghanistan,Salamat Azimi,759405630,Start
Afghanistan,Shukria Barakzai,787258680,Start
Afghanistan,Delbar Nazari,805967589,B
Afghanistan,Maryam Durani,795223533,C
Afghanistan,Masuma Esmati-Wardak,779389809,Stub
Afghanistan,Frozan Fana,789039267,Stub
Afghanistan,Fauzia Gailani,799980094,C
Afghanistan,Husn Banu Ghazanfar,779389407,Stub
Afghanistan,Anarkali Kaur Honaryar,785284556,Start
Afghanistan,Malali Ishaqzai,789818730,Start
Afghanistan,Azra Jafari,802286319,Start
Afghanistan,Gul Haar Jalal,802280148,Stub
Afghanistan,Massouda Jalal,800128121,Start
Afghanistan,Seema Jowenda,793950185,C
Afghanistan,Malalai Joya,723736482,Stub
Afghanistan,Fariba Ahmadi Kakar,795919634,C
Afghanistan,Shinkai Karokhail,775966269,C
Afghanistan,Zeenat Karzai,800175991,Start
Afghanistan,Fawzia Koofi,755193428,Stub
Afghanistan,Zahera Ahmadyar Mawlayee,803018106,Stub
Afghanistan,Farida Momand,717733887,Stub
Afghanistan,Robina Muqimyar,786203824,Start
Afghanistan,Farkhunda Zahra Naderi,704938340,Start
Afghanistan,Anahita Ratebzad,694519009,Start
Afghanistan,Shah Gul Rezai,797072546,Start
Afghanistan,Zefnoon Safai,716814855,Stub
Afghanistan,Nilofar Sakhi,802029007,Start
Afghanistan,Sima Samar,721094337,Stub
Afghanistan,Habiba Sarobi,796975361,Start
Afghanistan,Shakiba Hashemi,795276759,C
Afghanistan,Sahira Sharif,798059926,C
Afghanistan,Sohaila Sharifi,803706243,Stub
Afghanistan,Malalai Shinwari,803775914,C
Afghanistan,Suhaila Seddiqi,803792380,C
Afghanistan,Suraya Dalil,803983131,GA
Afghanistan,Toorpekai,795268854,Stub
Afghanistan,Qadria Yazdanparast,797048177,C
Afghanistan,"List of candidates in the Afghan presidential election, 2009",795275238,Start
Afghanistan,Barakzai dynasty,795269744,Stub
Afghanistan,Durrani dynasty,804299877,GA
Afghanistan,Ali Shah Durrani,796930327,C
Afghanistan,Ayub Shah Durrani,797089185,C
Afghanistan,Mahmud Shah Durrani,800408372,C
